DEBUG main cn.rocker.log4j.LogDemo - this is debug
INFO main cn.rocker.log4j.LogDemo - this is info
WARN main cn.rocker.log4j.LogDemo - this is warn
ERROR main cn.rocker.log4j.LogDemo - this is error
INFO main cn.rocker.log4j.LogDemo - this is info
WARN main cn.rocker.log4j.LogDemo - this is warn
ERROR main cn.rocker.log4j.LogDemo - this is error
INFO main cn.rocker.log4j.LogDemo - this is info
WARN main cn.rocker.log4j.LogDemo - this is warn
ERROR main cn.rocker.log4j.LogDemo - this is error
INFO main cn.rocker.log4j.LogDemo - this is info
WARN main cn.rocker.log4j.LogDemo - this is warn
ERROR main cn.rocker.log4j.LogDemo - this is error
